User ID,Gender,Age,EstimatedSalary,Purchased
15581282,Male,38,73106,0
15746203,Female,44,141581,1
15583137,Male,41,65073,0
15680752,Female,42,136515,0
15688172,Female,57,73602,0
15791373,Male,60,39744,1
15589449,Male,37,108883,1
15692819,Female,57,21382,1
15727467,Male,59,74591,1
15734312,Male,40,74437,0
15764604,Male,47,89883,1
15613014,Female,54,37719,1
15759684,Female,51,37355,1
15609669,Female,60,88959,1
15685536,Male,37,59194,0
15750447,Male,35,71669,1
15663249,Female,51,21103,1
15638646,Male,45,144815,0
15734161,Female,36,96979,1
15631070,Female,35,65988,0
15761950,Female,48,133832,1
15649668,Male,42,81959,0
15713912,Female,34,75481,1
15586757,Male,40,129607,1
15596522,Male,48,89117,1
15625395,Male,55,35662,1
15760570,Male,37,73862,1
15566689,Female,38,60538,0
15725794,Female,34,63442,0
15673539,Male,45,70098,1
15705298,Female,40,112126,1
15675791,Male,43,75065,0
15747043,Male,48,115037,0
15736397,Female,58,40327,1
15678201,Male,45,70959,1
15720745,Female,40,138160,1
15637593,Male,35,83514,1
15598070,Female,41,55609,0
15787550,Male,39,56925,0
15603942,Female,49,135696,0
15733973,Female,48,111994,1
15596761,Male,38,124717,1
15652400,Female,40,53747,0
15717893,Female,40,74018,0
15622585,Male,37,98774,1
15733964,Female,38,51846,1
15753861,Female,52,145155,1
15747097,Female,40,79926,0
15594762,Female,36,79242,0
15667417,Female,54,107032,1
15684861,Male,32,57028,0
15742204,Male,48,35037,1
15623502,Male,35,56204,0
15774872,Female,49,133048,1
15611191,Female,51,81445,0
15674331,Male,42,54290,0
15619465,Female,45,25724,1
15575247,Female,46,134970,1
15695679,Female,44,63443,0
15713463,Male,41,74205,0
15785170,Female,43,79113,0
15796351,Male,39,115570,1
15639576,Female,49,108994,1
15693264,Male,37,46024,0
15589715,Female,47,117820,1
15769902,Male,45,63264,1
15587177,Male,40,64287,0
15814553,Male,60,62360,1
15601550,Female,39,50094,1
15664907,Male,56,139323,1
15612465,Male,32,78217,0
15810800,Female,39,50055,1
15665760,Male,37,118129,1
15588080,Female,56,107447,1
15776844,Male,36,78949,0
15717560,Female,35,66881,1
15629739,Female,46,49903,1
15729908,Male,45,102556,1
15716781,Female,44,60193,1
15646936,Male,52,67105,1
15768151,Female,55,103728,1
15579212,Male,41,74820,0
15721835,Male,37,63632,0
15800515,Female,36,111779,1
15591279,Male,40,77912,0
15587419,Female,43,92590,1
15750335,Female,40,58167,0
15699619,Male,39,102636,1
15606472,Male,63,34163,1
15778368,Male,54,68704,1
15671387,Female,41,71014,0
15573926,Male,39,69997,1
15709183,Male,39,56870,0
15577514,Male,46,125870,0
15778830,Female,50,34805,1
15768072,Female,44,50740,1
15768293,Female,41,76509,0
15654456,Male,43,106420,1
15807525,Female,60,26289,1
15574372,Female,61,51752,1
15671249,Male,43,87982,1
15779744,Male,37,71336,0
15624755,Female,52,28690,1
15611430,Female,58,48567,1
15774744,Male,61,83751,1
15629885,Female,36,76957,0
15708791,Male,60,126332,1
15793890,Female,39,77049,0
15646091,Female,47,30565,1
15596984,Female,49,75350,0
15800215,Female,39,49566,0
15577806,Male,39,86316,1
15749381,Female,61,18208,1
15683758,Male,44,62653,0
15670615,Male,50,31673,1
15715622,Female,46,142471,0
15707634,Male,47,31832,1
15806901,Female,56,28884,1
15775335,Male,55,60935,1
15724150,Female,48,37849,1
15627220,Male,36,67328,1
15672330,Male,45,31936,1
15668521,Female,51,36398,1
15807837,Male,45,31153,0
15592570,Male,46,18258,1
15748589,Female,46,42064,1
15635893,Male,58,43571,1
15757632,Female,42,61840,0
15691863,Female,44,37089,1
15706071,Male,52,25657,0
15654296,Female,50,24524,1
15755018,Male,33,37203,1
15594041,Female,47,37064,1
